DateTime,Prod_Total
1/1/2019,35102
1/2/2019,34534
1/3/2019,35348
1/4/2019,34713
1/5/2019,35226
1/6/2019,34706
1/7/2019,36060
1/8/2019,37621
1/9/2019,37460
1/10/2019,35401
1/11/2019,33027
1/12/2019,33131
1/13/2019,34281
1/14/2019,31606
1/15/2019,29792
1/16/2019,30288
1/17/2019,28838
1/18/2019,29955
1/19/2019,31698
1/20/2019,31630
1/21/2019,32106
1/22/2019,31881
1/23/2019,30905
1/24/2019,33639
1/25/2019,33720
1/26/2019,32973
1/27/2019,33254
1/28/2019,31756
1/29/2019,34171
1/30/2019,33919
1/31/2019,34933
2/1/2019,38340
2/2/2019,37919
2/3/2019,38245
2/4/2019,38294
2/5/2019,40388
2/6/2019,37383
2/7/2019,37871
2/8/2019,39966
2/9/2019,39426
2/10/2019,40045
2/11/2019,38787
2/12/2019,39684
2/13/2019,39110
2/14/2019,38109
2/15/2019,40108
2/16/2019,39755
2/17/2019,38969
2/18/2019,38611
2/19/2019,39293
2/20/2019,39188
2/21/2019,40104
2/22/2019,42362
2/23/2019,40697
2/24/2019,40760
2/25/2019,37473
2/26/2019,38710
2/27/2019,38950
2/28/2019,39710
3/1/2019,38774
3/2/2019,38671
3/3/2019,38275
3/4/2019,38022
3/5/2019,37434
3/6/2019,39562
3/7/2019,38497
3/8/2019,39594
3/9/2019,39031
3/10/2019,39536
3/11/2019,39971
3/12/2019,39324
3/13/2019,39542
3/14/2019,38075
3/15/2019,39027
3/16/2019,38669
3/17/2019,38353
3/18/2019,38422
3/19/2019,39099
3/20/2019,39570
3/21/2019,37673
3/22/2019,37077
3/23/2019,38976
3/24/2019,39729
3/25/2019,38580
3/26/2019,38633
3/27/2019,38358
3/28/2019,39123
3/29/2019,36115
3/30/2019,38524
3/31/2019,38358
4/1/2019,37401
4/2/2019,38673
4/3/2019,35412
4/4/2019,39516
4/5/2019,41365
4/6/2019,39065
4/7/2019,39364
4/8/2019,39402
4/9/2019,40667
4/10/2019,39836
4/11/2019,40041
4/12/2019,40595
4/13/2019,40185
4/14/2019,39690
4/15/2019,39337
4/16/2019,39977
4/17/2019,38972
4/18/2019,39714
4/19/2019,39366
4/20/2019,37596
4/21/2019,38999
4/22/2019,38526
4/23/2019,39073
4/24/2019,40142
4/25/2019,39802
4/26/2019,40041
4/27/2019,40309
4/28/2019,39238
4/29/2019,40226
4/30/2019,39494
5/1/2019,38708
5/2/2019,37667
5/3/2019,39159
5/4/2019,40994
5/5/2019,41546
5/6/2019,40912
5/7/2019,41261
5/8/2019,10053
5/9/2019,36213
5/10/2019,37965
5/11/2019,41771
5/12/2019,40073
5/13/2019,41982
5/14/2019,43160
5/15/2019,40476
5/16/2019,41632
5/17/2019,42246
5/18/2019,41498
5/19/2019,41470
5/20/2019,41971
5/21/2019,41177
5/22/2019,40906
5/23/2019,40390
5/24/2019,41505
5/25/2019,43327
5/26/2019,40515
5/27/2019,41625
5/28/2019,40123
5/29/2019,40975
5/30/2019,41561
5/31/2019,41764
6/1/2019,42748
6/2/2019,41865
6/3/2019,41589
6/4/2019,36834
6/5/2019,38133
6/6/2019,40766
6/7/2019,40795
6/8/2019,40761
6/9/2019,40882
6/10/2019,37548
6/11/2019,39662
6/12/2019,35040
6/13/2019,36680
6/14/2019,38670
6/15/2019,39388
6/16/2019,40150
6/17/2019,39027
6/18/2019,39154
6/19/2019,36458
6/20/2019,40714
6/21/2019,40697
6/22/2019,40332
6/23/2019,39308
6/24/2019,38903
6/25/2019,38845
6/26/2019,40407
6/27/2019,39117
6/28/2019,38181
6/29/2019,39698
6/30/2019,38955
7/1/2019,36046
7/2/2019,38342
7/3/2019,37533
7/4/2019,37269
7/5/2019,34408
7/6/2019,37126
7/7/2019,35731
7/8/2019,34228
7/9/2019,35339
7/10/2019,38385
7/11/2019,38708
7/12/2019,37008
7/13/2019,36380
7/14/2019,36541
7/15/2019,37569
7/16/2019,37162
7/17/2019,34817
7/18/2019,32472
7/19/2019,32012
7/20/2019,31206
7/21/2019,31771
7/22/2019,32846
7/23/2019,33100
7/24/2019,35833
7/25/2019,34384
7/26/2019,33747
7/27/2019,32320
7/28/2019,32381
7/29/2019,33226
7/30/2019,33633
7/31/2019,33599
8/1/2019,34587
8/2/2019,34496
8/3/2019,35120
8/4/2019,33895
8/5/2019,33538
8/6/2019,33082
8/7/2019,34201
8/8/2019,34147
8/9/2019,34657
8/10/2019,33930
8/11/2019,35831
8/12/2019,34440
8/13/2019,34499
8/14/2019,34276
8/15/2019,35615
8/16/2019,35591
8/17/2019,35334
8/18/2019,36091
8/19/2019,35429
8/20/2019,36111
8/21/2019,36713
8/22/2019,37603
8/23/2019,36850
8/24/2019,36198
8/25/2019,36751
8/26/2019,36685
8/27/2019,36085
8/28/2019,35523
8/29/2019,35671
8/30/2019,37238
8/31/2019,37486
9/1/2019,37514
9/2/2019,38123
9/3/2019,36708
9/4/2019,36720
9/5/2019,37480
9/6/2019,38093
9/7/2019,38014
9/8/2019,37826
9/9/2019,39816
9/10/2019,38833
9/11/2019,38731
9/12/2019,38387
9/13/2019,38960
9/14/2019,39371
9/15/2019,37023
9/16/2019,37964
9/17/2019,37717
9/18/2019,39676
9/19/2019,38961
9/20/2019,40166
9/21/2019,39501
9/22/2019,40882
9/23/2019,40102
9/24/2019,42210
9/25/2019,39879
9/26/2019,34700
9/27/2019,37881
9/28/2019,38198
9/29/2019,38284
9/30/2019,37957
10/1/2019,38761
10/2/2019,36739
10/3/2019,40201
10/4/2019,39059
10/5/2019,40329
10/6/2019,39575
10/7/2019,42375
10/8/2019,44630
10/9/2019,41236
10/10/2019,42070
10/11/2019,39884
10/12/2019,41428
10/13/2019,41240
10/14/2019,39875
10/15/2019,37644
10/16/2019,35090
10/17/2019,41362
10/18/2019,40681
10/19/2019,40406
10/20/2019,40133
10/21/2019,40369
10/22/2019,41568
10/23/2019,41679
10/24/2019,41000
10/25/2019,39997
10/26/2019,40280
10/27/2019,40893
10/28/2019,40008
10/29/2019,41105
10/30/2019,40481
10/31/2019,41249
11/1/2019,38286
11/2/2019,39148
11/3/2019,38907
11/4/2019,36504
11/5/2019,37061
11/6/2019,32318
11/7/2019,26211
11/8/2019,41347
11/9/2019,40272
11/10/2019,41682
11/11/2019,39632
11/12/2019,39283
11/13/2019,3769
11/14/2019,39070
11/15/2019,33159
11/16/2019,35072
11/17/2019,34986
11/18/2019,35661
11/19/2019,35759
11/20/2019,35812
11/21/2019,36233
11/22/2019,40453
11/23/2019,40188
11/24/2019,39034
11/25/2019,37702
11/26/2019,37970
11/27/2019,37519
11/28/2019,35088
11/29/2019,34971
11/30/2019,34964
12/1/2019,36203
12/2/2019,36189
12/3/2019,33826
12/4/2019,36515
12/5/2019,35767
12/6/2019,35669
12/7/2019,35817
12/8/2019,38186
12/9/2019,38580
12/10/2019,38287
12/11/2019,38801
12/12/2019,38538
12/13/2019,39568
12/14/2019,39822
12/15/2019,39453
12/16/2019,39158
12/17/2019,41298
12/18/2019,40252
12/19/2019,40683
12/20/2019,40497
12/21/2019,40954
12/22/2019,40434
12/23/2019,39798
12/24/2019,39140
12/25/2019,39261
12/26/2019,39324
12/27/2019,39067
12/28/2019,39264
12/29/2019,38675
12/30/2019,38604
12/31/2019,38446
1/1/2020,38264
1/2/2020,37860
1/3/2020,37006
1/4/2020,38328
1/5/2020,37400
1/6/2020,37030
1/7/2020,37833
1/8/2020,38103
1/9/2020,41359
1/10/2020,42306
1/11/2020,40113
1/12/2020,40283
1/13/2020,41568
1/14/2020,39207
1/15/2020,39328
1/16/2020,39366
1/17/2020,40241
1/18/2020,40397
1/19/2020,41165
1/20/2020,41390
1/21/2020,39708
1/22/2020,40174
1/23/2020,40126
1/24/2020,40590
1/25/2020,40835
1/26/2020,40222
1/27/2020,40012
1/28/2020,40081
1/29/2020,41249
1/30/2020,39842
1/31/2020,40704
2/1/2020,40862
2/2/2020,38841
2/3/2020,39777
2/4/2020,41137
2/5/2020,39556
2/6/2020,39962
2/7/2020,39168
2/8/2020,38743
2/9/2020,40423
2/10/2020,40632
2/11/2020,39951
